nombre;dpto;dpto_desc;distrito;dist_desc;codigo_institucion;?column?
6995 (15125) INST. CRISTIANO INTERACTIVO;10;ALTO PARANA;1;CIUDAD DEL ESTE;6675;-
3-79;3;CORDILLERA;10;JUAN DE MENA;2537;-
6380 CENTRO EDUCATIVO BETESDA;11;CENTRAL;8;LIMPIO;11677;-
3918 (14078) EMMANUEL;10;ALTO PARANA;5;HERNANDARIAS;6853;-
6748  SAN ANTONIO;10;ALTO PARANA;16;MINGA PORA;7444;-
14474 C.E.1 AMANECER;11;CENTRAL;9;LUQUE;8167;-
E.M.A. SAN JUAN;11;CENTRAL;3;FERNANDO DE LA MORA;12675;-
DE CAPIITINDY;6;CAAZAPA;11;3 DE MAYO;4634;-
7264 LA AMISTAD;10;ALTO PARANA;2;PRESIDENTE FRANCO;13661;-
2264 SANTA ROSA;2;SAN PEDRO;1;SAN PEDRO DEL YKUAMANDIYU;1277;-
4526 (13150) SANTA LIBRADA;2;SAN PEDRO;17;CAPIIBARY;1782;-
413 COPERATIVA PYTYVO MA. AUXILIADORA;11;CENTRAL;16;VILLETA;8734;-
YTU;10;ALTO PARANA;6;ITAKYRY;11183;-
IDELGUAP - FILIAL ITAPE;4;GUAIRA;8;ITAPE;373;-
4442 (12431) MCAL. FRANCISCO S. LOPEZ;7;ITAPUA;25;ALTO VERA;5536;-
6637 SANTA ANA;14;CANINDEYU;12;YVYRAROBANA;11230;-
7184 GABINO ARCE;6;CAAZAPA;11;3 DE MAYO;13590;-
6912 NUEVA FORTUNA;1;CONCEPCION;8;AZOTEY;12357;-
DE COMPUTACION;11;CENTRAL;14;SAN LORENZO;11106;-
3440 (13391);8;MISIONES;2;AYOLAS;5674;-
IDELGUAP - FILIAL ACAHAY;9;PARAGUARI;2;ACAHAY;373;-
6613 (14740) SANTA ANA;2;SAN PEDRO;3;CHORE;1413;-
3271 (13554) SAN LUIS GONZAGA;7;ITAPUA;21;SAN RAFAEL DEL PARANA;5341;-
8003 ALBERT EINSTEIN SCHOOL;0;ASUNCION;0;ASUNCION;16939;-
7239 DIVINO NIÑO JESUS;11;CENTRAL;2;CAPIATA;13623;-
2407-LAUREL;14;CANINDEYU;10;NUEVA ESPERANZA;9704;-
YATAITY;6;CAAZAPA;11;3 DE MAYO;4617;-
2643 INMACULADA C. AVALOS DE RIOS;5;CAAGUAZU;1;CORONEL OVIEDO;3200;-
7524 MCAL. FRANCISCO S. LOPEZ;11;CENTRAL;18;YPANE;16027;-
1405 CNEL. PANCHITO LOPEZ;5;CAAGUAZU;1;CORONEL OVIEDO;3171;-
CHIANG KAI SHEK;0;ASUNCION;0;ASUNCION;656;-
11-254 MA. ALODIA V. DE SOSA;11;CENTRAL;2;CAPIATA;7650;-
